City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Bayir,TR,37.2687,28.2167,93.72,19,0,14.65,clear sky
282,Adrar,MR,20.5022,-10.0711,101.1,16,10,17.78,clear sky
283,Skagen,DK,57.7209,10.5839,64.38,77,51,10.56,broken clouds
284,Lamu,KE,-2.2717,40.902,80.82,70,92,15.41,overcast clouds
285,Touros,BR,-5.1989,-35.4608,76.1,66,57,19.75,broken clouds
286,Hamilton,US,39.1834,-84.5333,77.49,86,1,1.01,clear sky
287,Anadyr,RU,64.75,177.4833,41.5,81,0,15.66,clear sky
288,Qeshm,IR,26.9581,56.2719,102.09,71,0,11.23,clear sky
289,Acari,PE,-15.4311,-74.6158,65.41,69,58,4.94,broken clouds
290,Rondonopolis,BR,-16.4708,-54.6356,82.17,32,0,10.29,clear sky
291,Sibolga,ID,1.7427,98.7792,79.86,86,100,2.35,light rain
292,Tarakan,ID,3.3,117.6333,80.1,89,40,3.44,scattered clouds
293,Faanui,PF,-16.4833,-151.75,79.03,73,37,10.83,scattered clouds
294,Rocha,UY,-34.4833,-54.3333,59.5,87,100,7.85,overcast clouds
295,Sturgeon Bay,US,44.8342,-87.377,70.21,100,75,11.5,moderate rain
296,Brigantine,US,39.4101,-74.3646,70.07,97,90,11.5,mist
297,Aguimes,ES,27.9054,-15.4461,74.03,65,20,26.46,few clouds
298,Nyurba,RU,63.2842,118.3319,62.26,97,100,1.54,overcast clouds
299,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,51,20,11.5,few clouds
300,Okhotsk,RU,59.3833,143.3,58.15,76,9,8.84,clear sky
301,Ambovombe,MG,-25.1667,46.0833,70.7,65,0,9.33,clear sky
302,Marsabit,KE,2.3284,37.9899,80.47,32,24,11.77,few clouds
303,La Romana,DO,18.4273,-68.9728,80.96,83,20,6.91,few clouds
304,Pushkinskiye Gory,RU,57.0209,28.9103,75.85,41,100,5.41,overcast clouds
305,Port Blair,IN,11.6667,92.75,82.92,82,87,9.62,overcast clouds
306,Sao Sebastiao,BR,-23.76,-45.4097,73.74,48,0,1.88,clear sky
307,Elverum,NO,60.8819,11.5623,71.6,44,54,4.74,light rain
308,Donskoye,RU,45.4552,41.9741,91.53,24,9,11.34,clear sky
309,Muros,ES,42.7762,-9.0603,78.15,69,12,10.71,few clouds
310,Pyshma,RU,56.9523,63.2513,65.32,93,100,9.93,light rain
311,Joshimath,IN,30.5667,79.5667,73.31,97,91,3.44,overcast clouds
312,Izumo,JP,35.3667,132.7667,76.95,93,100,10.07,heavy intensity rain
313,Bumba,CD,2.1833,22.4667,90.16,40,15,2.59,few clouds
314,Pafos,CY,34.7667,32.4167,92.23,52,20,17.27,few clouds
315,Abu Kamal,SY,34.4506,40.9171,105.31,12,0,4.7,clear sky
316,Cartagena,CO,10.3997,-75.5144,83.82,84,40,6.91,scattered clouds
317,Phangnga,TH,8.4509,98.5298,82.51,89,99,3.22,overcast clouds
318,Garden City,US,42.3256,-83.331,74.46,91,75,5.75,broken clouds
319,Margate,GB,51.3813,1.3862,64.9,81,99,4.0,overcast clouds
320,Clyde River,CA,70.4692,-68.5914,41.92,62,0,10.6,clear sky
321,Xicotencatl,MX,23.0167,-98.8833,79.48,84,100,3.15,overcast clouds
322,Boissevain,CA,49.2306,-100.0559,69.64,56,11,14.12,light rain
323,Hokitika,NZ,-42.7167,170.9667,38.48,75,100,8.97,overcast clouds
324,Hami,CN,42.8,93.45,91.26,9,6,7.23,clear sky
325,Mackay,AU,-21.15,149.2,65.05,76,4,12.82,clear sky
326,San Francisco,US,37.7749,-122.4194,62.47,92,75,1.99,broken clouds
327,Lobito,AO,-12.3481,13.5456,75.92,72,62,9.22,broken clouds
328,Avera,US,33.194,-82.5271,77.4,74,1,5.12,clear sky
329,Talcahuano,CL,-36.7167,-73.1167,35.28,93,0,4.61,clear sky
330,Milkovo,RU,54.7167,158.6167,50.54,78,97,5.21,overcast clouds
331,Marsh Harbour,BS,26.5412,-77.0636,83.19,71,3,9.1,clear sky
332,Carnarvon,AU,-24.8667,113.6333,68.07,81,90,4.61,overcast clouds
333,Nouadhibou,MR,20.931,-17.0347,69.37,89,1,16.6,clear sky
334,Meulaboh,ID,4.1363,96.1285,80.98,83,100,8.28,overcast clouds
335,Sinnamary,GF,5.3833,-52.95,82.49,75,63,8.75,broken clouds
336,Frankenberg,DE,51.0667,8.8,70.56,45,100,13.69,overcast clouds
337,Whitefish,US,48.4111,-114.3376,58.5,95,90,3.44,light rain
338,Laguna,US,38.421,-121.4238,72.01,80,1,1.99,clear sky
339,Boundiali,CI,9.5217,-6.4869,81.73,69,94,4.7,light rain
340,Yaan,NG,7.3833,8.5667,77.4,84,100,10.29,light rain
341,Bangassou,CF,4.7413,22.8184,83.19,60,100,0.74,overcast clouds
342,Vestmannaeyjar,IS,63.4427,-20.2734,61.79,72,0,11.5,clear sky
343,Port Hedland,AU,-20.3167,118.5667,64.45,82,2,0.0,clear sky
344,Sao Filipe,CV,14.8961,-24.4956,79.99,80,34,11.32,scattered clouds
345,Punta Alta,AR,-38.8759,-62.0736,48.29,55,100,4.83,overcast clouds
346,Linda,US,39.1277,-121.5508,75.9,71,40,0.0,scattered clouds
